model,hypothesis,condition,sentiment,negative_terms,positive_terms,offense_terms,defense_terms,late_game_terms,conditioning_terms,tactical_terms,mental_terms,roster_terms,response_length
mistral-large-latest,H1_Framing,negative,0.02738095238095238,15,1,23,18,19,2,2,1,0,2448
llama-3.3-70b-versatile,H1_Framing,negative,0.12083333333333332,0,1,21,0,4,0,0,0,0,880
mistral-large-latest,H1_Framing,positive,0.10167310167310167,6,8,30,20,15,3,2,2,1,3316
llama-3.3-70b-versatile,H1_Framing,positive,0.25,0,3,9,1,5,0,1,0,0,747
mistral-large-latest,H1_Framing,neutral,0.09161706349206349,17,17,44,30,18,4,5,1,12,5557
llama-3.3-70b-versatile,H1_Framing,neutral,0.08266666666666668,2,0,15,2,8,0,1,0,0,1290
mistral-large-latest,H2_Outcome,loss_focus,0.08110269360269359,28,2,49,22,22,1,3,2,3,4525
llama-3.3-70b-versatile,H2_Outcome,loss_focus,0.0955357142857143,1,0,7,4,4,0,0,0,0,888
mistral-large-latest,H2_Outcome,win_focus,0.12630757220921152,10,18,50,26,23,5,7,2,12,6624
llama-3.3-70b-versatile,H2_Outcome,win_focus,0.19999999999999998,1,5,17,14,9,0,0,0,0,1352
mistral-large-latest,H2_Outcome,neutral,0.11559356136820928,32,8,64,23,43,2,3,1,5,6015
llama-3.3-70b-versatile,H2_Outcome,neutral,0.12125541125541124,4,5,16,7,7,0,0,0,0,2211
mistral-large-latest,H3_Selection,offense_focus,0.1579986613119143,17,3,85,5,16,2,3,0,8,5095
llama-3.3-70b-versatile,H3_Selection,offense_focus,-0.03431372549019609,3,1,18,0,7,2,2,0,1,1207
mistral-large-latest,H3_Selection,defense_focus,-0.0032727272727272674,12,0,70,46,29,3,4,0,0,5185
llama-3.3-70b-versatile,H3_Selection,defense_focus,0.08193650793650793,1,3,20,14,9,0,0,0,0,1581
mistral-large-latest,H3_Selection,neutral,0.12451814058956917,19,3,57,42,29,2,3,1,6,4958
llama-3.3-70b-versatile,H3_Selection,neutral,0.07435897435897434,2,2,8,4,6,0,0,0,0,1111
